,NAME,START,END,MON,TUES,WED,THURS,FRI,SAT,SUN
0,Aaron,09:00:00,19:00:00,1,1,1,1,1,0,0
1,Abdon,10:00:00,20:00:00,1,1,1,1,1,1,1
2,Abdon Isaias,09:00:00,19:00:00,1,1,1,1,1,1,1
3,Abdon Luis,04:00:00,14:00:00,0,0,0,0,1,0,0
4,Abel Irene,07:00:00,17:00:00,0,0,0,1,0,0,0
5,Abelardo,06:00:00,16:00:00,1,1,1,1,1,1,1
6,Abigail,08:00:00,18:00:00,1,1,1,1,1,0,0
7,Abraham Alejo,08:00:00,18:00:00,1,1,1,1,1,0,1
8,Abril,08:00:00,18:00:00,1,0,0,1,1,0,0
9,Acacio Cayetano,08:00:00,18:00:00,1,1,1,1,1,1,1
10,Acacio Montserrat,06:00:00,16:00:00,0,1,0,1,0,0,0
11,Acacio Poncio,08:00:00,18:00:00,1,1,1,1,1,1,1
12,Adalberto,09:00:00,19:00:00,1,1,1,1,1,1,1
13,Adalberto Anatolio,09:00:00,19:00:00,1,1,1,1,1,1,1
14,Adam,10:00:00,20:00:00,1,0,0,0,1,1,0
15,Adan,08:00:00,18:00:00,1,1,1,1,1,1,1
16,Addison,10:00:00,20:00:00,1,1,1,1,1,1,1
17,Adela,13:00:00,23:00:00,1,0,1,0,0,0,0
18,Adela Esteban,08:00:00,18:00:00,1,0,1,1,1,0,0
19,Adele,10:00:00,20:00:00,1,1,1,1,1,0,1
20,Adelia,12:00:00,22:00:00,0,0,1,1,1,0,1
21,Adrien,08:00:00,18:00:00,1,0,0,0,0,0,0
22,Agathe,09:00:00,19:00:00,1,1,1,1,1,0,0
23,Ager,09:00:00,19:00:00,1,0,0,0,1,0,0
24,Agostinho,12:00:00,22:00:00,0,0,1,0,0,0,0
25,Agueda,08:00:00,18:00:00,1,1,1,1,1,1,1
26,Agustina,08:00:00,18:00:00,1,1,1,1,1,1,1
27,Agustina Greta,04:00:00,14:00:00,0,0,0,1,1,0,0
28,Aide,08:00:00,18:00:00,1,1,0,1,1,1,0
29,Aide Matias,09:00:00,19:00:00,1,1,1,1,1,0,0
30,Ainhoa,08:00:00,18:00:00,1,0,1,0,1,0,0
31,Aino,08:00:00,18:00:00,1,1,1,1,1,0,0
32,Aisha,06:00:00,16:00:00,0,0,1,1,1,0,0
33,Aitor,09:00:00,19:00:00,1,0,0,0,0,0,0
34,Akira,06:00:00,16:00:00,1,1,1,1,1,1,0
35,Akos,08:00:00,18:00:00,1,1,0,1,1,0,1
36,Akseli,05:00:00,15:00:00,0,1,0,1,1,0,0
37,Alain,11:00:00,21:00:00,0,1,0,1,0,0,0
38,Alba,07:00:00,17:00:00,0,1,0,0,0,0,1
39,Alban,09:00:00,19:00:00,1,1,1,1,1,1,0
40,Albina Adan,08:00:00,18:00:00,1,1,1,1,1,0,0
41,Aldara,07:00:00,17:00:00,1,0,1,1,1,0,0
42,Alejandria Itzel,04:00:00,14:00:00,1,0,0,0,0,0,0
